Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
133	1	429.4879	425.3925	4.095383	24.11999	0.007894984	-0.01776916	0.01388315	0.919832	0.8031462	1	0.01480589	87.7959	0.01379392	-0.2216491
134	0	425.693	421.658	4.034951	29.6697	0.007035139	0.03597133	0.01379645	0.8944723	0.7801334	1	0.01393269	98.52644	0.01364281	0.340871
135	1	428.6223	424.7169	3.905486	21.62025	0.008377241	-0.001139017	0.01449357	0.9312848	0.8141602	1	0.01558308	82.74171	0.01442513	-0.01657591
136	0	427.924	423.9831	3.940954	24.236	0.007874299	-0.07986681	0.01427641	0.9193002	0.802646	1	0.01499445	88.02652	0.01418344	-0.9896783
137	1	427.9477	423.6417	4.306016	25.3342	0.007685024	-0.05494394	0.01308762	0.914267	0.7979559	1	0.01418299	90.19454	0.01299142	-0.6408729
138	0	429.3432	425.9401	3.403053	29.14078	0.007107269	-0.03262028	0.01653189	0.8968776	0.7822544	1	0.01532949	97.52651	0.01635609	-0.3163257
139	1	429.5637	426.13	3.43367	30.20293	0.006964164	-0.02889643	0.01643449	0.8920508	0.7780088	1	0.0151296	99.53057	0.01624297	-0.2676856
140	0	429.6913	426.2123	3.478938	33.18167	0.006596647	-0.02753805	0.01631725	0.8785944	0.7663729	1	0.01467236	105.0757	0.01607675	-0.2268268
141	1	427.7304	424.4379	3.292476	32.89406	0.006630162	-0.08766836	0.01674265	0.8798881	0.7674802	1	0.0149001	104.5445	0.0165011	-0.7298888
142	0	428.457	424.6382	3.818775	35.20495	0.006371383	-0.01686218	0.0150684	0.86953	0.7586734	1	0.01385688	108.7907	0.0148119	-0.1292419
143	1	427.8249	424.9471	2.877772	36.70963	0.006214771	0.02592066	0.01836476	0.8628323	0.7530431	1	0.01510846	111.5322	0.01801923	0.1889707
144	0	428.5752	425.1475	3.427698	28.68409	0.007170995	0.01233729	0.01626318	0.8989569	0.7840968	1	0.0152724	96.65983	0.01609713	0.1220994
145	1	429.1601	425.3726	3.787523	23.876	0.007938941	-0.05295376	0.01499676	0.9209506	0.804201	1	0.01543103	87.30978	0.01490305	-0.6698817
146	0	429.6271	425.5751	4.052021	22.90126	0.008120962	-0.02505568	0.01404359	0.9254187	0.8084574	1	0.01510281	85.35284	0.01396547	-0.3359512
147	1	425.3895	422.2716	3.117898	55.5369	0.004771148	-0.06486156	0.0181883	0.7824001	0.6876755	1	0.01317415	145.2789	0.01732709	-0.2980772
148	0	428.7369	424.5078	4.229081	26.20528	0.007542752	-0.03555982	0.01342776	0.9102781	0.7942901	1	0.01423252	91.89579	0.01331967	-0.3963338
149	1	427.3495	425.129	2.2205	58.6366	0.004594366	-0.05651115	0.0219209	0.7697499	0.6775868	1	0.01419244	150.8689	0.02075876	-0.2454337
150	0	429.3899	426.0127	3.377178	32.17959	0.006715151	-0.04704147	0.01666137	0.8831072	0.7702453	1	0.01495885	103.2214	0.01643371	-0.4024325
151	1	426.5445	424.0535	2.490945	37.65583	0.006120591	-0.06265512	0.02008954	0.8586402	0.7495415	1	0.01568183	113.2484	0.0196881	-0.4432314
152	0	428.1289	424.7671	3.361755	30.8299	0.006882852	-0.0794927	0.01651949	0.8892083	0.7755275	1	0.01507987	100.7064	0.01631671	-0.7174968
153	1	426.9753	424.6946	2.280647	61.5383	0.004439317	0.02358858	0.02156917	0.7580508	0.6682726	1	0.01383852	156.1383	0.02030652	0.09749393
154	0	428.5721	424.3023	4.269727	17.74598	0.009302934	-0.01741698	0.01318059	0.9488853	0.8322976	1	0.01566002	74.50845	0.01314616	-0.3407429
155	1	427.4637	424.4425	3.021163	45.61167	0.00543521	0.03407912	0.01795681	0.8240164	0.7211208	1	0.01397133	127.5291	0.01740068	0.1936495
156	0	427.3701	422.6964	4.673613	14.61035	0.0102925	-0.02926018	0.01167055	0.962746	0.8482351	1	0.01549962	67.34489	0.01165435	-0.7854245
157	1	429.2332	426.0111	3.222099	36.96147	0.006189392	-0.04760315	0.01733883	0.8617151	0.7521083	1	0.01465038	111.9895	0.01700727	-0.3442395
158	0	427.1247	424.0492	3.075495	34.03116	0.006499888	-0.09363366	0.01751906	0.8747807	0.7631214	1	0.01509118	106.6399	0.01724436	-0.7477577
159	1	427.1228	424.229	2.893751	35.51055	0.006338862	-0.08766928	0.01829971	0.8681667	0.7575235	1	0.0152315	109.3488	0.01798166	-0.665001
160	0	427.6282	423.9503	3.677911	21.08021	0.008491722	-0.001667136	0.01532924	0.9337539	0.8166042	1	0.01613516	81.62622	0.01526197	-0.0251658
161	1	429.086	425.3585	3.727462	28.86091	0.00714616	0.00673701	0.01519338	0.8981516	0.7833822	1	0.01473597	96.99575	0.01503578	0.06614744
162	0	429.542	425.5256	4.016398	26.75713	0.007455934	-0.03422509	0.01422339	0.9077533	0.7919911	1	0.01456356	92.96584	0.01410236	-0.3710171
163	1	427.7542	424.0895	3.664713	39.68087	0.005929165	-0.04650432	0.01573569	0.8497203	0.7421416	1	0.01366013	116.9047	0.01538032	-0.3094519
164	0	429.4786	425.3963	4.08227	21.93474	0.008312398	-0.04175004	0.01391829	0.9298457	0.8127481	1	0.01521147	83.38715	0.01384979	-0.5951171
165	1	429.6453	426.0551	3.59018	30.88943	0.006875248	-0.01152201	0.01582783	0.8889387	0.7752929	1	0.01475265	100.8178	0.0156326	-0.1037446
166	0	429.2103	425.2974	3.912878	21.37145	0.00842948	-0.02524187	0.01454137	0.9324227	0.8152831	1	0.01565734	82.22893	0.01447496	-0.3735259
167	1	428.2485	423.8092	4.439264	18.10585	0.009205349	-0.01155533	0.0125359	0.9472657	0.8305484	1	0.01519193	75.29831	0.01250104	-0.2191236
168	0	427.6126	424.3099	3.302681	25.18538	0.007710005	-0.006847809	0.01679157	0.9149489	0.7985869	1	0.01609118	89.9023	0.0166701	-0.08051404
169	1	427.4847	423.109	4.37566	14.46514	0.01034563	-0.03515804	0.01278523	0.9633734	0.8490075	1	0.01626476	66.99903	0.01276808	-0.9599045
170	0	427.915	423.7898	4.125162	25.18538	0.007710005	-0.07292843	0.01365874	0.9149489	0.7985869	1	0.01451268	89.9023	0.01355994	-0.857466
