Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
103	556.5796	552.0009	4.578761	8.365502	0.01366348	-0.0210523	0.01235817	0.9873175	0.8855373	1	0.01837692	50.72991	-0.06992053	0.01235618	3.783279
104	554.5587	550.511	4.047683	11.50546	0.01163087	-0.06923388	0.01341832	0.9757129	0.8655915	1	0.0176673	59.59545	0.2186848	0.0134104	-11.6361
105	553.4849	549.9755	3.509362	17.95963	0.009244666	-0.02689863	0.0153292	0.9479243	0.8312574	1	0.01683528	74.97807	0.2587341	0.01528762	-5.22622
106	554.5619	551.1339	3.428014	8.762798	0.01334807	-0.06231666	0.01318896	0.9859721	0.8828368	1	0.01876417	51.92864	-0.5266582	0.01318636	32.57474
107	554.1079	550.8371	3.270779	13.53352	0.01070581	-0.02316497	0.01600406	0.9673566	0.8540471	1	0.01851143	64.74495	0.2814017	0.01598701	-9.048711
108	556.0686	552.1891	3.879517	10.36138	0.01226543	-0.03293126	0.01434947	0.9801717	0.8725201	1	0.01876179	56.51227	0.1935423	0.01434383	-11.22818
109	556.0221	552.4211	3.60099	9.976564	0.01250249	-0.02973391	0.01270301	0.9816187	0.8749303	1	0.01782241	55.44075	0.4682703	0.01269872	-26.62465
110	555.3064	551.0373	4.269105	9.149329	0.01306088	-0.06398659	0.01340974	0.9846234	0.8802653	1	0.01871593	53.07048	0.02030459	0.01340657	-5.461489
111	553.7195	551.3059	2.413568	12.7674	0.01103003	-0.06023127	0.01423855	0.9705703	0.858309	1	0.01772296	62.8418	-0.7000526	0.01422622	21.04059
112	555.3513	551.4802	3.87116	13.40228	0.01075944	-0.01305899	0.01493597	0.9679114	0.8547694	1	0.01792778	64.42224	-0.1163748	0.01492059	3.103329
113	554.3141	550.8489	3.465154	15.98879	0.009823315	-0.01553243	0.01576225	0.9567182	0.8410638	1	0.01759758	70.56144	-0.2724039	0.01573272	5.662453
114	555.4906	552.2457	3.244861	11.79792	0.01148332	-0.04637722	0.01427893	0.9745399	0.8638724	1	0.01810909	60.36119	-0.5027709	0.01426968	17.4231
