Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
127	1	666.6132	661.1829	5.430236	0.4537021	0.05871678	-0.01167345	0.005416224	1	0.9733601	1	0.02521996	11.80492	-0.3693623	0.005416224	5.066402e+07
128	0	667.4895	663.3497	4.139786	0.5300725	0.05432253	-0.01412565	0.005489941	1	0.9712051	1	0.02442243	12.75985	-0.7144866	0.005489941	2.434987e+07
129	1	669.4449	664.3304	5.114521	0.5699813	0.05238626	-0.01832273	0.005562959	0.9999999	0.9701408	1	0.02414219	13.23147	-0.4813762	0.005562959	8669774
130	0	665.5325	662.0629	3.469585	0.5543433	0.05312002	-0.02715988	0.005757114	1	0.9705533	1	0.02473128	13.0487	0.7828098	0.005757114	-1.91738e+07
131	1	667.4978	661.6854	5.812411	0.5887529	0.05154436	-0.01832273	0.006333941	0.9999999	0.9696531	1	0.02555304	13.44759	0.03552286	0.006333941	-770286.6
132	0	665.8684	661.0617	4.806691	0.3327207	0.06856584	-0.02387788	0.0053901	1	0.9771867	1	0.02718738	10.10922	0.508169	0.0053901	-1.755543e+09
133	1	669.0874	663.6551	5.432298	0.6197239	0.05023987	-0.02354875	0.005472667	0.9999999	0.9688651	1	0.02344978	13.79675	-0.3740822	0.005472667	3304762
134	0	669.1253	663.7091	5.416201	0.6621734	0.04860286	-0.02059943	0.005236622	0.9999998	0.9678165	1	0.02256168	14.26145	0.3247843	0.005236622	-1929561
135	1	669.502	663.7888	5.713205	0.5320645	0.05422075	-0.01728429	0.005739484	1	0.9711511	1	0.02494791	12.7838	-0.2286238	0.005739484	7112556
136	0	667.5652	662.9058	4.659407	0.4388266	0.05970369	-0.0163981	0.005540597	1	0.9738004	1	0.02572136	11.60979	0.5462379	0.005540597	-1.092512e+08
137	1	666.4289	663.0362	3.392664	0.5701346	0.05237921	-0.02531194	0.005665185	0.9999999	0.9701368	1	0.02436136	13.23325	0.7962697	0.005665185	-1.534792e+07
138	0	667.4993	661.8441	5.655246	0.8923812	0.04186706	-0.01650446	0.006159769	0.9999985	0.9626386	1	0.02271085	16.55591	-0.2583189	0.006159769	156877.1
139	1	667.2998	661.4947	5.805122	0.7255704	0.04643098	-0.01837718	0.004885465	0.9999996	0.9663111	1	0.02129962	14.92855	-0.1348864	0.004885465	325096.4
140	0	667.32	661.4884	5.831583	0.3545218	0.06642418	-0.02151517	0.005114485	1	0.9764512	1	0.02606628	10.43516	-0.08859735	0.005114485	1.116243e+08
141	1	667.3155	661.6563	5.659153	0.3500335	0.06684868	-0.02255804	0.005497859	1	0.9766007	1	0.02711179	10.3689	0.2042792	0.005497859	-4.323116e+08
142	0	668.8657	663.836	5.029625	0.5303146	0.05431013	-0.01784596	0.005742085	1	0.9711985	1	0.02497412	12.76276	-0.5045713	0.005742085	1.685532e+07
143	1	668.3236	664.1916	4.132078	0.596914	0.05119078	-0.01638277	0.005438019	0.9999999	0.9694435	1	0.02359561	13.54047	0.6625016	0.005438019	-8673893
144	0	667.8939	662.8789	5.014966	0.7516899	0.04561717	-0.01330369	0.005908524	0.9999995	0.96571	1	0.02321767	15.19488	-0.508565	0.005908524	1065395
145	1	668.9819	663.1422	5.839711	0.4151249	0.06138444	-0.02082175	0.005366882	1	0.9745178	1	0.02566878	11.2919	-0.09961614	0.005366882	2.618301e+07
146	0	669.6779	663.95	5.727872	0.6315488	0.04976731	-0.01592451	0.005314849	0.9999999	0.9685695	1	0.02300025	13.92776	-0.2227831	0.005314849	1676804
147	1	669.2154	663.5941	5.621284	0.6631696	0.04856634	-0.0228128	0.005694767	0.9999998	0.9677923	1	0.0235191	14.27217	-0.2882769	0.005694767	1465861
148	0	667.3048	661.5162	5.788565	0.4511436	0.05888304	-0.01615659	0.006055975	1	0.9734353	1	0.02670559	11.77159	-0.1463659	0.006055975	1.944988e+07
149	1	669.5444	664.1782	5.366123	0.5232671	0.05467464	-0.02034238	0.005357196	1	0.9713906	1	0.02420342	12.67767	-0.3970011	0.005357196	1.465558e+07
150	0	668.9797	663.1422	5.837452	0.4351213	0.05995736	-0.02328307	0.005419282	1	0.9739113	1	0.02549219	11.56067	0.05396458	0.005419282	-1.626667e+07
151	1	668.7952	663.399	5.396139	0.5217318	0.05475503	-0.01767009	0.005071828	1	0.9714326	1	0.02356727	12.65906	-0.381081	0.005071828	1.450816e+07
152	0	665.7427	662.6455	3.097233	0.5612895	0.05279031	-0.0139886	0.005071379	1	0.9703694	1	0.02313956	13.1302	0.8418153	0.005071379	-1.823234e+07
153	1	668.4202	664.0731	4.347085	0.6144023	0.05045698	-0.01767009	0.005259581	0.9999999	0.9689991	1	0.02303834	13.73739	-0.6723365	0.005259581	6615614
154	0	669.374	663.6256	5.748408	0.6795079	0.04797891	-0.01605658	0.005870943	0.9999998	0.9673979	1	0.02373527	14.44691	-0.2033997	0.005870943	857387
155	1	666.8343	663.1366	3.697665	0.7942319	0.04437864	-0.01487099	0.005839721	0.9999993	0.9647531	1	0.02276659	15.61894	-0.7979993	0.005839721	1133899
156	0	666.4655	661.1948	5.270767	0.7338225	0.04616918	-0.01771484	0.004859026	0.9999996	0.96612	1	0.02118194	15.0132	-0.4238068	0.004859026	1042154
157	1	669.7061	663.9003	5.80577	0.6575901	0.04877194	-0.02070747	0.005306812	0.9999998	0.9679281	1	0.02275186	14.21201	-0.1600971	0.005306812	821976.2
158	0	665.8413	661.8785	3.962745	0.5085801	0.05545849	-0.014352	0.006042607	1	0.9717949	1	0.02588875	12.49849	-0.7450891	0.006042607	3.652845e+07
