Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
123	1	595.9616	591.8765	4.085067	23.10904	0.008081269	-0.01241879	0.0133925	0.9244664	0.8075443	1	0.01471247	85.77207	0.2331341	0.01331609	-3.017774
124	0	595.784	591.4538	4.330193	17.27245	0.009435705	0.01749104	0.01276152	0.9510092	0.8346221	1	0.01551863	73.46003	0.1509873	0.01273089	-2.573938
125	1	595.7749	593.0869	2.688002	14.26285	0.01042094	-0.0272201	0.01364176	0.9642446	0.8500892	1	0.01686179	66.51484	0.627592	0.01362432	-17.68606
126	0	598.1017	593.706	4.395705	15.60027	0.00994951	-0.03504266	0.01265791	0.9584293	0.8430568	1	0.01587073	69.66646	0.153424	0.01263603	-4.380221
127	1	597.012	592.3857	4.626257	11.61246	0.01157626	-0.02716643	0.01204784	0.9752852	0.8649603	1	0.01670144	59.8766	-0.1381581	0.01204049	4.352737
128	0	596.0757	591.6561	4.419633	11.3975	0.01168674	-0.0184933	0.01264323	0.9761427	0.8662312	1	0.01719058	59.31058	0.1325068	0.01263603	-6.196798
129	1	595.7941	591.2996	4.494539	10.41957	0.01223071	-0.02657127	0.01145188	0.9799504	0.8721593	1	0.01673706	56.6727	-0.3278716	0.01144728	14.69987
130	0	595.3183	590.5751	4.743198	16.14234	0.009774644	-0.03233299	0.01138453	0.9560395	0.8402819	1	0.01491843	70.91278	0.1424058	0.01136253	-3.832504
131	1	594.7876	590.9903	3.797352	10.72399	0.0120536	-0.03311491	0.01100988	0.9787826	0.8702871	1	0.01629164	57.50542	-0.5859677	0.01100493	25.47057
132	0	595.8322	590.9708	4.861428	13.94174	0.01054371	-0.03600306	0.0111226	0.9656206	0.8518204	1	0.01531492	65.74036	-0.1436191	0.01110945	2.986624
133	1	595.6821	591.0812	4.600894	18.86557	0.009008088	-0.05229907	0.01230144	0.9438335	0.8269026	1	0.01488707	76.9472	-0.03556689	0.01226263	-0.3334702
134	0	597.2503	593.2567	3.993569	13.97437	0.01053105	-0.01304533	0.01269002	0.9654811	0.8516437	1	0.01634865	65.8194	-0.3999625	0.0126749	10.80889
