Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
82	597.8358	593.3921	4.443755	14.09089	0.01048618	-0.02914125	0.01224399	0.9649825	0.8510141	1	0.01602453	66.101	0.1943178	0.01222898	-6.187041
83	597.4918	593.2867	4.205104	13.77366	0.01060961	-0.01687144	0.0128531	0.9663372	0.8527337	1	0.01651462	65.33201	-0.2911676	0.01283853	7.85718
84	596.4248	593.9185	2.506308	16.1764	0.009763939	-0.02899951	0.01287485	0.9558889	0.8401089	1	0.01585618	70.99053	-0.7587679	0.01284979	15.78509
85	598.0754	593.5861	4.489224	14.75525	0.01024024	-0.02179698	0.01248055	0.9621185	0.8474677	1	0.01598773	67.68859	0.1130554	0.01246264	-3.44679
86	597.4857	593.9175	3.568276	22.13983	0.008270806	-0.01597256	0.01437691	0.9289067	0.8118315	1	0.01542133	83.80649	-0.3978907	0.01430425	4.974183
87	589.3101	590.226	-0.9158625	26.06899	0.007564581	0.03633408	0.01450382	0.910902	0.7948606	1	0.01481319	91.63061	1.128518	0.01438868	-11.12971
88	597.7428	593.8501	3.892752	22.16147	0.008266449	-0.04292666	0.01501165	0.9288077	0.811735	1	0.01575392	83.85065	0.00911705	0.01493557	-0.7219128
89	596.5607	592.7085	3.852151	12.78968	0.01102021	-0.04248441	0.01268687	0.9704777	0.8581835	1	0.01672196	62.89783	0.3938864	0.01267582	-14.38717
90	595.9275	592.8096	3.117905	12.91099	0.01096715	-0.04238479	0.01220321	0.9699727	0.8575017	1	0.01636059	63.20213	-0.6701748	0.0121922	20.23715
91	596.4196	592.899	3.520659	12.44385	0.01117558	-0.02715528	0.01235037	0.9719081	0.8601436	1	0.0166146	62.02338	0.5148387	0.01234062	-18.77876
92	596.9404	592.3008	4.639654	11.49294	0.01163732	-0.02821897	0.01194214	0.9757628	0.8656656	1	0.0166718	59.56246	-0.1543104	0.01193512	5.048085
93	596.9647	592.2924	4.672323	12.82341	0.01100538	-0.04767131	0.01189096	0.9703374	0.8579936	1	0.01617804	62.98257	0.06592409	0.01188049	-3.763666
94	594.7223	591.2677	3.454664	11.70912	0.01152756	-0.03594401	0.01104718	0.9748974	0.8643923	1	0.01595914	60.12957	0.6080893	0.01104022	-25.04796
95	597.274	593.4103	3.86372	16.74598	0.009589541	-0.006723646	0.01410913	0.95336	0.8372385	1	0.01644993	72.28158	-0.2934051	0.01407844	5.853281
96	593.4256	589.8794	3.54622	16.12949	0.009778691	0.01754036	0.01511238	0.9560964	0.8403472	1	0.01719182	70.88343	-0.299279	0.01508325	6.916966
97	597.422	593.4588	3.963205	24.11134	0.007896531	-0.0175667	0.01449914	0.9198717	0.8031835	1	0.01513228	87.77869	-0.1756389	0.01440604	1.797099
98	596.3641	592.5662	3.797818	27.167	0.007393025	-0.04766701	0.01508326	0.9058796	0.790295	1	0.01493392	93.7569	-0.1867428	0.01494965	1.290894
99	594.4323	592.2517	2.180593	31.22711	0.006832485	-0.05896914	0.01739272	0.8874101	0.7739648	1	0.01541658	101.4488	-0.5767798	0.01717224	4.022309
100	595.0354	591.8426	3.192826	30.34652	0.006945342	0.02815538	0.01677111	0.8913994	0.777439	1	0.0152631	99.8003	0.2086145	0.01657331	-1.453062
101	596.4828	593.5679	2.914984	14.58719	0.01030092	-0.03531589	0.01324231	0.9628462	0.8483581	1	0.01651714	67.2898	0.6016535	0.01322403	-16.54249
102	597.0509	592.7699	4.281024	16.46073	0.009675802	0.001934746	0.01271773	0.9546284	0.8386706	1	0.01568784	71.63718	0.2077211	0.01269155	-4.32786
103	595.6821	591.8794	3.802728	22.30836	0.008237027	0.01561287	0.01374575	0.928135	0.8110808	1	0.0150482	84.15016	0.3025884	0.01367476	-3.690669
104	597.294	593.1006	4.193394	20.08922	0.008712873	0.003209261	0.01359266	0.9382752	0.8211553	1	0.01539033	79.55438	-0.1577813	0.01354088	2.450417
105	597.0988	593.0909	4.007904	15.57429	0.009958111	-0.01657079	0.01416044	0.9585435	0.8431909	1	0.01679353	69.60629	-0.1973085	0.01413611	4.162384
106	590.5837	586.8224	3.761291	13.44964	0.01074	-0.09531809	0.01245058	0.9677114	0.8545083	1	0.01635355	64.53886	-0.4653127	0.0124376	10.99366
107	597.8113	593.6055	4.205773	14.94828	0.01017175	-0.02733507	0.01352014	0.96128	0.8464506	1	0.01658454	68.14434	-0.1756384	0.01349987	3.654511
108	596.5874	592.8361	3.751286	15.55944	0.009963033	-0.05014622	0.01238988	0.9586086	0.8432675	1	0.01571246	69.57191	-0.5021656	0.01236865	10.41846
109	593.9187	590.9123	3.006362	19.23528	0.008916106	0.01435668	0.01264784	0.9421576	0.8251504	1	0.01501796	77.74102	-0.6638891	0.01260552	11.06186
110	598.1121	593.9298	4.182363	17.82117	0.009282314	-0.01779065	0.01320905	0.9485473	0.8319309	1	0.01565954	74.67396	0.2007606	0.01317408	-4.04685
111	596.2851	591.6861	4.599034	11.28849	0.01174394	-0.01323341	0.01208676	0.9765749	0.86688	1	0.0168491	59.02171	0.09800174	0.01208013	-4.650552
112	597.4106	593.1441	4.266513	17.56413	0.009353321	-0.007622448	0.01275609	0.9497019	0.8331872	1	0.01544744	74.10707	0.2173795	0.01272382	-4.255992
113	593.2897	588.8871	4.402552	15.58607	0.009954207	0.03236345	0.01234736	0.9584917	0.8431301	1	0.01567853	69.63359	0.1499289	0.01232609	-2.682407
114	597.0507	594.0606	2.99011	22.30835	0.00823703	-0.02072918	0.0146488	0.928135	0.8110809	1	0.01553465	84.15014	0.4987487	0.01457315	-6.729778
115	595.7502	592.8988	2.851478	27.82937	0.007294057	-0.04639333	0.01701223	0.9028545	0.7875737	1	0.01575361	95.02904	-0.4086415	0.01685168	3.320281
116	594.149	591.6677	2.481313	19.20589	0.008923328	0.02688322	0.01451577	0.942291	0.8252892	1	0.01609528	77.6781	-0.6640442	0.01446743	11.30856
117	596.7008	593.2097	3.491155	13.80303	0.01059801	-0.0172626	0.01306479	0.9662121	0.8525737	1	0.01664096	65.40351	-0.5271653	0.01304988	14.56414
118	598.096	593.616	4.479959	16.26133	0.009737381	-0.02806896	0.01257647	0.9555128	0.8396781	1	0.01565004	71.18415	-0.1540209	0.01255158	2.677175
119	595.9102	591.4045	4.505676	11.59958	0.0115828	-0.04923434	0.01261436	0.9753367	0.8650361	1	0.01709442	59.84281	-0.06606259	0.01260669	0.6162584
120	597.4521	592.9332	4.518924	16.48475	0.009668455	-0.05081615	0.01260324	0.9545218	0.8385496	1	0.01561114	71.69162	-0.01762097	0.01257718	-0.7475345
121	596.9218	593.2735	3.648235	26.53244	0.007490984	-0.01369985	0.01519375	0.9087811	0.792925	1	0.01508749	92.53085	0.2162263	0.01506732	-2.304371
122	597.93	594.2322	3.697824	19.80776	0.008778493	-0.02293198	0.01434923	0.9395564	0.8224643	1	0.01587228	78.9597	0.2937678	0.01429681	-4.945827
123	598.1427	593.5904	4.552225	14.40253	0.01036878	-0.02823866	0.01246254	0.9636434	0.8493416	1	0.01607615	66.84947	0.03397673	0.01244607	-1.677277
124	596.1408	592.0495	4.09131	13.7375	0.01062394	0.002313338	0.01309905	0.966491	0.8529308	1	0.01668314	65.2439	0.2524567	0.01308435	-7.212507
125	594.9454	591.2092	3.736257	22.31405	0.008235893	-0.08623487	0.01490727	0.9281089	0.8110555	1	0.01567002	84.16175	0.150892	0.01483023	-3.147526
126	595.058	591.468	3.590012	15.24311	0.01006956	-0.05665282	0.0118587	0.9599944	0.8449081	1	0.01545392	68.83588	0.525615	0.01183972	-14.02903
127	597.1967	593.0607	4.135995	23.80495	0.007951859	-0.0138824	0.01413963	0.9212763	0.804509	1	0.01499575	87.16794	-0.04031136	0.014052	0.2954067
128	595.8516	592.6284	3.223274	14.78576	0.01022933	0.002492444	0.01307364	0.9619861	0.8473066	1	0.01635448	67.76078	-0.59131	0.01305474	15.02937
129	595.7706	592.0127	3.757976	16.51295	0.009659852	0.0154338	0.01311517	0.9543965	0.8384077	1	0.01591795	71.75547	-0.4316866	0.01308789	9.372839
130	595.1252	590.913	4.212141	14.8841	0.01019438	0.02031323	0.01316307	0.9615591	0.8467881	1	0.01638227	67.99309	-0.2066913	0.01314362	5.69859
131	597.4705	593.8424	3.628132	21.70322	0.008360008	-0.02126833	0.01546284	0.9309052	0.8137869	1	0.01607915	82.91226	-0.2315647	0.01538902	2.812029
132	596.4695	593.5863	2.883144	25.70596	0.007623496	-0.02126833	0.01632362	0.9125642	0.7963857	1	0.01577612	90.92248	-0.4591814	0.01619882	4.549214
133	596.1264	592.4671	3.659311	31.13057	0.006844647	-0.02380643	0.0160444	0.887847	0.774344	1	0.01482014	101.2685	-0.005803691	0.01584259	-0.1663231
