Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
113	1	357.0172	353.1163	3.900903	13.58537	0.01068483	-0.03963969	0.01452526	0.9671369	0.8537626	1	0.01761817	64.87207	0.01450958	-1.206208
114	0	356.7762	352.9661	3.810069	6.572296	0.0154229	-0.02290325	0.01482387	0.992773	0.8985839	1	0.0213835	44.94274	0.01482309	-3.169113
115	1	358.882	355.0367	3.845329	8.015853	0.01396001	-0.05534361	0.014662	0.9884644	0.8879655	1	0.02023273	49.65233	0.01466005	-4.797638
116	0	357.2949	353.3575	3.937436	7.795383	0.01415705	-0.01417896	0.01434245	0.9891685	0.8895231	1	0.02015176	48.96128	0.01434077	-1.309053
117	1	359.5094	356.0881	3.421324	11.83512	0.01146494	-0.03067953	0.01628324	0.9743899	0.8636552	1	0.01932286	60.45798	0.01627256	-1.197946
118	0	358.2008	354.2467	3.954041	10.92031	0.01194325	-0.05796274	0.01426476	0.9780208	0.869093	1	0.01845901	58.03674	0.01425787	-2.637164
119	1	357.6049	354.5398	3.065115	9.577556	0.01276294	-0.03529766	0.01759052	0.983087	0.8774762	1	0.02118994	54.30938	0.01758549	-2.087013
120	0	357.7716	353.6081	4.163484	9.216852	0.01301255	-0.0576876	0.01348922	0.984384	0.8798214	1	0.01873655	53.2676	0.01348593	-3.694138
121	1	359.2501	355.9277	3.322383	10.84939	0.01198278	-0.0303388	0.01664339	0.9782968	0.8695232	1	0.01997168	57.84529	0.01663555	-1.397893
122	0	358.8423	354.9203	3.922016	9.070784	0.01311777	-0.05916628	0.01436885	0.9849005	0.8807835	1	0.01941583	52.84031	0.01436557	-3.918433
123	1	359.1021	355.5845	3.517624	13.47766	0.01072855	-0.03598719	0.01593632	0.967593	0.8543541	1	0.01849181	64.60775	0.01591958	-1.110474
124	0	358.7311	355.1755	3.555514	13.20939	0.01083965	-0.05861746	0.01573636	0.9687237	0.8558366	1	0.01847034	63.94552	0.01572097	-1.874181
125	1	357.9915	355.1096	2.881878	14.51687	0.01032662	-0.007665491	0.01825276	0.9631501	0.848732	1	0.01941593	67.1224	0.01822797	-0.2080193
126	0	359.2469	356.0151	3.231825	14.3043	0.01040538	-0.04384023	0.01698643	0.9640663	0.849867	1	0.01880161	66.61428	0.01696449	-1.220032
127	1	358.094	354.839	3.255086	16.56899	0.009642815	-0.02078902	0.01691796	0.9541475	0.8381259	1	0.01806304	71.88224	0.01688239	-0.4533891
128	0	358.2178	354.0906	4.127202	7.134872	0.01480055	-0.03514152	0.01366916	0.9911823	0.8943222	1	0.02011522	46.83253	0.01366809	-3.985343
129	1	359.515	355.7641	3.750871	9.147749	0.01306202	-0.04495882	0.01504522	0.984629	0.8802757	1	0.01982528	53.06586	0.01504167	-2.924915
130	0	356.7923	352.5103	4.281955	8.458792	0.01358745	-0.02202977	0.01309712	0.9870055	0.8848977	1	0.01886566	51.01377	0.01309491	-1.695315
131	1	358.4182	355.2834	3.134767	14.16728	0.01045706	-0.07023649	0.01723208	0.964655	0.8506027	1	0.01898404	66.2851	0.01721056	-1.98717
132	0	358.3074	354.976	3.331343	10.25218	0.01233137	-0.01544824	0.01658417	0.9805852	0.8731997	1	0.02022402	56.21008	0.01657791	-0.795695
133	1	357.9272	354.1683	3.758844	8.284643	0.0137304	-0.07097243	0.0148976	0.9875859	0.8860944	1	0.02022622	50.48265	0.0148953	-5.717088
134	0	357.9924	353.8771	4.115352	9.513177	0.01280646	-0.02724455	0.01372167	0.9833207	0.8778917	1	0.01874706	54.1248	0.01371786	-1.633432
135	1	358.5628	354.7725	3.790268	8.841084	0.01328841	-0.06618058	0.01481449	0.9857021	0.8823116	1	0.01984243	52.16179	0.01481146	-4.628678
136	0	356.0086	353.4138	2.594801	24.61542	0.00780759	-0.0271868	0.01950054	0.9175609	0.8010167	1	0.01745005	88.77863	0.01936801	-0.3297806
