Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
89	663.3498	658.9076	4.442157	0.2903765	0.07339508	-0.02168022	0.005856208	1	0.9786878	1	0.02931951	9.444055	-0.6458695	0.005856208	9.642389e+09
90	668.6941	664.0148	4.679389	0.6248845	0.05003199	-0.01957666	0.005244057	0.9999999	0.9687358	1	0.02290723	13.85408	-0.5975813	0.005244057	5098983
91	668.5491	664.0341	4.515023	0.6960432	0.04740559	-0.01994203	0.005507753	0.9999997	0.9670037	1	0.02285162	14.62163	-0.6372584	0.005507753	2352107
92	667.7527	661.955	5.797666	0.3874956	0.06353519	-0.01717637	0.005616121	1	0.9753804	1	0.02671409	10.90966	-0.1525353	0.005616121	8.945044e+07
93	667.321	661.4929	5.828108	0.4901629	0.05649076	-0.01539601	0.006139948	1	0.9723103	1	0.0263382	12.2701	0.02082352	0.006139948	-2518349
94	668.2919	662.7389	5.552989	0.4522177	0.05881308	-0.02297839	0.005815106	1	0.9734037	1	0.02615356	11.7856	0.2608528	0.005815106	-4.145928e+07
95	669.3414	664.1831	5.158238	0.5662603	0.0525581	-0.01830877	0.005672304	0.9999999	0.9702384	1	0.02441825	13.18821	-0.4673378	0.005672304	8881901
96	667.5287	662.5333	4.995401	0.6658597	0.04846813	-0.01683472	0.004966792	0.9999998	0.967727	1	0.02194225	14.30109	-0.5115897	0.004966792	2647549
97	668.5892	663.1301	5.45917	0.5625769	0.05272987	-0.01412161	0.005188418	1	0.9703354	1	0.02339165	13.14525	-0.3583517	0.005188418	7193274
98	667.9839	663.4212	4.562692	0.4445194	0.05932016	-0.01976505	0.005240737	1	0.973631	1	0.02493517	11.68485	-0.6228096	0.005240737	1.035872e+08
99	664.5731	659.0788	5.494341	0.4090158	0.06184116	-0.01261363	0.004890055	1	0.974706	1	0.02459295	11.20851	0.2758161	0.004890055	-1.109091e+08
100	669.5696	664.1392	5.430421	0.6659345	0.04846541	-0.01716955	0.005669209	0.9999998	0.9677252	1	0.02344187	14.30189	0.3194676	0.005669209	-1799856
101	668.9795	663.4079	5.571632	0.7646984	0.0452275	-0.017413	0.005880721	0.9999995	0.9654146	1	0.02306384	15.32579	-0.3105428	0.005880721	556726.4
102	668.6342	663.5685	5.06572	0.6308206	0.04979603	-0.02008298	0.005128018	0.9999999	0.9685876	1	0.02259889	13.91973	-0.4943622	0.005128018	3879982
103	665.9843	660.4111	5.573206	0.4899121	0.05650522	-0.02742863	0.006119781	1	0.9723174	1	0.02629827	12.26696	-0.2981361	0.006119781	1.890953e+07
104	667.885	662.165	5.71996	0.7011455	0.04723279	-0.02610529	0.005429955	0.9999997	0.9668829	1	0.02264826	14.67513	-0.2330318	0.005429955	746065.1
105	665.7189	659.9384	5.780481	0.4680719	0.05780846	-0.009868049	0.005795291	1	0.9729415	1	0.02588501	11.99041	-0.1663171	0.005795291	1.657567e+07
106	668.3485	662.9574	5.391151	0.4756141	0.05734827	-0.0249693	0.005312614	1	0.9727244	1	0.02468478	12.08663	-0.3866145	0.005312614	3.307476e+07
107	669.9133	664.0788	5.834526	0.5046015	0.05567669	-0.01853109	0.005380104	1	0.9719055	1	0.02447637	12.4495	-0.1170104	0.005380104	5278451
108	669.8251	664.2519	5.573154	0.5695229	0.05240734	-0.02094077	0.005548811	0.9999999	0.9701528	1	0.02411632	13.22615	-0.3116216	0.005548811	5479224
109	667.7432	661.884	5.859169	0.5369919	0.05397141	-0.01088848	0.005373371	1	0.9710178	1	0.02408354	12.84286	-0.05098431	0.005373371	1246036
110	666.4247	661.0266	5.398162	0.9629524	0.04030373	-0.01705025	0.005300932	0.9999975	0.9611894	1	0.02067111	17.19809	-0.3894698	0.005300932	146583.4
111	669.1537	663.5881	5.565573	0.7187103	0.04665205	-0.01671458	0.005285088	0.9999997	0.9664707	1	0.02220631	14.85781	0.2617555	0.005285088	-833910.8
112	669.7438	664.2352	5.508625	0.6613344	0.04863368	-0.01805704	0.005624045	0.9999998	0.9678369	1	0.0233888	14.25241	0.2875568	0.005624045	-1724280
113	668.771	663.2246	5.546453	0.6896025	0.04762646	-0.0211788	0.005965861	0.9999998	0.9671567	1	0.02383832	14.55383	0.2655319	0.005965861	-1172341
114	669.5018	663.7465	5.75535	0.6783668	0.04801925	-0.01971035	0.005250153	0.9999998	0.9674253	1	0.02245477	14.43478	0.1493389	0.005250153	-783704.2
115	668.5605	664.333	4.22749	0.5523435	0.0532161	-0.01994661	0.005470576	1	0.9706064	1	0.02412976	13.02514	0.6431895	0.005470576	-1.61875e+07
116	666.3437	661.3881	4.955619	0.5270878	0.05447612	-0.01192642	0.00598856	1	0.9712863	1	0.02554343	12.72387	0.4668859	0.00598856	-1.748483e+07
117	665.9375	660.9966	4.940882	0.6837977	0.04782818	-0.01149192	0.006276473	0.9999998	0.9672952	1	0.02450275	14.49244	0.4668859	0.006276473	-2086340
118	668.4227	663.7327	4.690021	0.5020216	0.05581957	-0.01665038	0.005579411	1	0.9719774	1	0.02495758	12.41764	0.5397476	0.005579411	-3.121633e+07
119	668.3611	663.2368	5.124331	0.6993956	0.04729184	-0.01311991	0.005762296	0.9999997	0.9669243	1	0.02334565	14.6568	-0.4777331	0.005762296	1707064
120	668.3399	663.2195	5.120336	0.7133693	0.04682637	-0.01317186	0.005397726	0.9999997	0.9665955	1	0.02248359	14.8025	0.4261217	0.005397726	-1390897
121	668.5066	662.7765	5.73013	0.5491774	0.05336928	-0.02415253	0.005916731	1	0.9706908	1	0.02513053	12.98776	0.1590444	0.005916731	-4696344
122	669.273	663.423	5.850009	0.7181969	0.04666872	-0.0187609	0.00594798	0.9999997	0.9664827	1	0.02356203	14.8525	0.02597572	0.00594798	-134684.9
123	668.5915	662.7359	5.855591	0.4441296	0.05934619	-0.0170177	0.005752997	1	0.9736426	1	0.02613115	11.67973	-0.02931388	0.005752997	2129802
124	666.4055	660.6014	5.804119	0.3958569	0.0628606	-0.01438867	0.005845525	1	0.9751162	1	0.02710916	11.02673	0.08134512	0.005845525	-5.099337e+07
125	668.5608	663.0022	5.558591	0.5562906	0.05302697	-0.01796953	0.00603847	1	0.9705016	1	0.0253062	13.0716	0.2545343	0.00603847	-6261730
126	668.6843	663.4681	5.216112	0.5819632	0.05184417	-0.01982175	0.005057696	0.9999999	0.9698286	1	0.02290031	13.36982	0.3915727	0.005057696	-6477099
127	669.3365	663.9469	5.389638	0.5644169	0.05264385	-0.01561048	0.00539671	1	0.9702869	1	0.0238371	13.16673	0.334049	0.00539671	-7108561
128	666.7615	660.9271	5.834405	0.4086682	0.06186745	-0.01480279	0.005891604	1	0.9747167	1	0.02699994	11.20375	-0.08399584	0.005891604	2.683117e+07
129	669.5164	663.651	5.865453	0.6765789	0.04808265	-0.01444413	0.005377972	0.9999998	0.9674683	1	0.02274147	14.41574	-0.06067359	0.005377972	218705.4
130	669.102	663.3596	5.74242	0.5682714	0.05246501	-0.02406532	0.005264469	0.9999999	0.9701856	1	0.02350321	13.21161	0.1569279	0.005264469	-3475132
131	669.853	664.011	5.842022	0.6147764	0.05044163	-0.02179322	0.005650279	0.9999999	0.9689897	1	0.02387506	13.74157	-0.1132552	0.005650279	919727.3
132	668.9125	663.8333	5.079184	0.7484607	0.04571547	-0.01740462	0.005575044	0.9999995	0.9657838	1	0.02257723	15.1622	0.4393554	0.005575044	-1013936
133	669.5672	664.053	5.514226	0.5148883	0.05511771	-0.01752042	0.005488988	1	0.9716205	1	0.02459839	12.57576	-0.3371069	0.005488988	1.432685e+07
