Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
77	428.5721	424.3023	4.269727	17.74598	0.009302934	-0.01741698	0.01318059	0.9488853	0.8322976	1	0.01566002	74.50845	0.01314616	-0.3407429
78	427.3701	422.6964	4.673613	14.61035	0.0102925	-0.02926018	0.01167055	0.962746	0.8482351	1	0.01549962	67.34489	0.01165435	-0.7854245
79	427.1247	424.0492	3.075495	34.03116	0.006499888	-0.09363366	0.01751906	0.8747807	0.7631214	1	0.01509118	106.6399	0.01724436	-0.7477577
80	427.6282	423.9503	3.677911	21.08021	0.008491722	-0.001667136	0.01532924	0.9337539	0.8166042	1	0.01613516	81.62622	0.01526197	-0.0251658
81	429.542	425.5256	4.016398	26.75713	0.007455934	-0.03422509	0.01422339	0.9077533	0.7919911	1	0.01456356	92.96584	0.01410236	-0.3710171
82	429.4786	425.3963	4.08227	21.93474	0.008312398	-0.04175004	0.01391829	0.9298457	0.8127481	1	0.01521147	83.38715	0.01384979	-0.5951171
83	429.2103	425.2974	3.912878	21.37145	0.00842948	-0.02524187	0.01454137	0.9324227	0.8152831	1	0.01565734	82.22893	0.01447496	-0.3735259
84	427.6126	424.3099	3.302681	25.18538	0.007710005	-0.006847809	0.01679157	0.9149489	0.7985869	1	0.01609118	89.9023	0.0166701	-0.08051404
85	427.915	423.7898	4.125162	25.18538	0.007710005	-0.07292843	0.01365874	0.9149489	0.7985869	1	0.01451268	89.9023	0.01355994	-0.857466
86	429.621	426.1558	3.465273	34.50235	0.006447602	-0.02478559	0.01639059	0.8726703	0.7613298	1	0.01453822	107.5047	0.01612485	-0.1946568
87	427.3284	423.8271	3.501341	36.01237	0.006286261	0.03644647	0.01588336	0.8659313	0.7556425	1	0.01413131	110.2638	0.01559787	0.2718492
88	429.5918	425.9446	3.647187	30.27026	0.006955323	-0.008498832	0.01559441	0.8917453	0.7777415	1	0.01472849	99.65708	0.01541166	-0.07850777
