Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
121	584.6801	578.9554	5.724687	6.867333	0.01508704	-0.02578305	0.004181504	0.9919539	0.8963276	1	0.01123268	45.94323	0.004181233	-3.204424
122	586.9569	581.124	5.832849	11.32941	0.01172237	-0.001028148	0.005169371	0.9764129	0.8666361	1	0.01100884	59.1303	0.005166495	-0.04358942
123	584.6252	578.7891	5.836061	11.02533	0.0118854	-0.0279322	0.004857427	0.9776106	0.8684582	1	0.01074546	58.3192	0.004854992	-1.247565
124	583.7243	577.9363	5.788045	8.526147	0.01353333	0.02146773	0.005201185	0.9867787	0.8844381	1	0.01186502	51.2178	0.005200276	1.623726
125	588.0726	582.2956	5.776981	6.60415	0.01538556	-0.005681354	0.004523368	0.9926862	0.898338	1	0.01179784	45.0518	0.004523126	-0.7768005
126	587.047	581.3278	5.719234	5.029901	0.01763332	-0.01040303	0.004210585	0.9964346	0.9112934	1	0.01218578	39.30895	0.004210531	-2.917807
127	586.1809	580.3441	5.836839	6.820029	0.01513942	-0.01863524	0.004955717	0.9920875	0.8966861	1	0.01224963	45.78425	0.004955406	-2.355175
128	587.8356	582.0314	5.804134	7.931039	0.01403485	0.000397388	0.004792981	0.9887371	0.8885622	1	0.01159903	49.38757	0.004792373	0.03528286
129	584.0635	578.2301	5.833324	16.55421	0.009647299	-0.0197025	0.006033284	0.9542132	0.8382001	1	0.01078934	71.84883	0.006020636	-0.4303093
130	586.0886	580.3055	5.783066	10.42361	0.0122283	0.008992309	0.00471681	0.979935	0.8721343	1	0.01074045	56.68383	0.004714911	0.4481584
131	585.744	579.8906	5.85341	8.61603	0.01346208	-0.02151261	0.005268529	0.9864742	0.8838274	1	0.01191011	51.48887	0.005267565	-1.590482
132	586.7368	580.918	5.818796	6.404784	0.01562377	-0.001763698	0.004948455	0.9932224	0.8998872	1	0.01243491	44.36492	0.004948228	-0.2602258
133	586.5725	580.7811	5.79139	9.362132	0.01291031	0.01053	0.004832903	0.9838652	0.8788717	1	0.01117088	53.68944	0.004831645	0.6526283
134	586.0628	580.2383	5.82455	9.561093	0.01277403	0.005615861	0.005475682	0.9831468	0.8775823	1	0.01182764	54.26223	0.005474127	0.333223
135	583.7993	578.0099	5.789487	11.1219	0.01183292	0.01647263	0.005881935	0.9772319	0.8678771	1	0.01179834	58.57786	0.005878886	0.7234944
136	587.1518	581.3225	5.829249	7.000421	0.01494248	-0.0133178	0.004903443	0.9915734	0.8953253	1	0.01210534	46.38768	0.004903095	-1.580452
137	586.3064	580.5359	5.770423	8.123124	0.01386703	-0.02035409	0.004400529	0.9881164	0.8872152	1	0.01104738	49.98527	0.004399907	-1.712786
138	587.1235	581.3202	5.803309	10.02526	0.01247175	-0.007158502	0.004681196	0.9814372	0.8746229	1	0.0108058	55.57739	0.004679583	-0.3856363
139	586.5476	580.708	5.839666	10.63064	0.01210712	-0.004411212	0.005527361	0.9791425	0.8708586	1	0.01156896	57.25121	0.005524957	-0.2114926
