Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
89	1	586.6025	580.7764	5.826154	11.22299	0.01177869	-0.0102596	0.00486424	0.9768337	0.8672712	1	0.01070461	58.84756	0.00486163	-0.442868
90	0	585.1785	579.5073	5.671185	4.022258	0.01971981	-0.002957108	0.004065487	0.99817	0.9206785	1	0.01266259	35.14978	0.004065473	-1.615903
91	1	584.732	579.1392	5.592843	4.230742	0.01922765	-0.01467359	0.003784174	0.9978582	0.9186482	1	0.01206323	36.04951	0.003784157	-6.851111
92	0	584.4784	578.7251	5.753279	4.38219	0.01889235	0.002879628	0.004473372	0.9976159	0.9172045	1	0.01300096	36.68931	0.004473346	1.207853
93	1	588.0747	582.2972	5.77752	6.646536	0.01533629	-0.007400474	0.004513564	0.9925701	0.8980116	1	0.01176617	45.19652	0.004513314	-0.9960426
94	0	587.6749	581.959	5.715831	5.892156	0.01629057	-0.002734616	0.004229119	0.9945234	0.9039835	1	0.01173838	42.54899	0.004228992	-0.4993317
95	1	586.8157	581.0677	5.747984	4.954832	0.0177665	-0.003929057	0.004381794	0.9965832	0.9119583	1	0.01247791	39.01428	0.004381743	-1.149935
96	0	587.3416	581.5467	5.794905	9.194452	0.01302852	0.004061097	0.004750629	0.9844636	0.8799685	1	0.01112598	53.20228	0.004749482	0.2613918
97	1	586.3073	580.6705	5.636842	4.966673	0.01774529	-0.0003766719	0.003955071	0.99656	0.9118531	1	0.01184769	39.0609	0.003955024	-0.1094975
98	0	586.1018	580.2602	5.841554	6.760639	0.01520597	-0.01498307	0.005083477	0.9922541	0.8971379	1	0.01243376	45.58389	0.005083172	-1.934315
99	1	587.6805	581.9437	5.736782	6.00504	0.01613646	-0.0009146296	0.004337408	0.9942469	0.9030668	1	0.01183135	42.95533	0.004337265	-0.1589809
100	0	583.7445	577.9218	5.822739	17.41481	0.009395249	-0.0190912	0.006168043	0.9503716	0.8339205	1	0.01076571	73.77635	0.006152851	-0.3846826
101	1	586.985	581.2651	5.719825	4.889741	0.01788445	-0.007622706	0.004226904	0.9967097	0.9125389	1	0.012296	38.75698	0.004226858	-2.316689
102	0	587.5327	581.7203	5.812372	8.464703	0.01358268	0.002714316	0.004925158	0.9869856	0.8848573	1	0.01156692	51.03171	0.004924324	0.2085632
103	1	587.293	581.5516	5.741413	5.197911	0.01734575	-0.006483696	0.004330065	0.9960914	0.909823	1	0.01225628	39.96063	0.004329999	-1.658817
104	0	586.4124	580.7401	5.672332	7.390406	0.01454147	0.001169316	0.004072773	0.990421	0.8924409	1	0.01088339	47.66693	0.004072399	0.1220706
105	1	587.3499	581.5932	5.756725	8.296174	0.0137208	-0.009434635	0.004373156	0.9875477	0.8860148	1	0.01095474	50.51798	0.004372478	-0.757665
106	0	586.8988	581.0635	5.835284	8.74213	0.01336395	-0.01909884	0.004906876	0.9860432	0.8829758	1	0.0114521	51.86692	0.00490592	-1.368424
107	1	588.0568	582.2923	5.764466	6.735653	0.01523422	-0.00291606	0.004467271	0.9923237	0.8973286	1	0.01166665	45.49934	0.004467008	-0.3798791
108	0	586.9853	581.1677	5.817577	6.315842	0.01573364	-0.004236037	0.004889441	0.9934563	0.900586	1	0.01240393	44.05511	0.004889231	-0.6473488
109	1	584.7801	579.0924	5.687669	3.864486	0.02011843	-0.01259997	0.00408748	0.9983889	0.92225	1	0.01282448	34.45335	0.004087469	-7.820852
110	0	587.3197	581.4942	5.825444	6.852792	0.01510308	-0.008918311	0.004911391	0.9919951	0.8964376	1	0.01218008	45.89442	0.004911077	-1.114105
111	1	587.9257	582.1098	5.81583	8.138801	0.01385359	-0.003311868	0.004860873	0.9880652	0.8871059	1	0.01160522	50.03376	0.00486018	-0.2774977
112	0	584.5842	578.9596	5.624552	7.922919	0.01404208	0.001139767	0.00391282	0.9887631	0.8886195	1	0.01048276	49.36216	0.003912325	0.1014304
113	1	587.4304	581.6084	5.822019	10.16188	0.01238667	-0.002258648	0.004940095	0.9809255	0.8737642	1	0.01106267	55.9591	0.004938297	-0.1184116
