Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
107	1	555.9911	551.7047	4.286389	8.208226	0.01379455	-0.04772174	0.01344948	0.9878378	0.8866233	1	0.01926289	50.24792	-0.03958264	0.0134475	-0.7087981
108	0	554.4045	550.8651	3.539427	15.83893	0.009871466	-0.04738807	0.01587752	0.9573792	0.84183	1	0.01770505	70.21725	0.1447134	0.01584868	-4.362516
109	1	556.7835	552.1955	4.588045	8.609492	0.01346722	-0.02439561	0.01232405	0.9864964	0.8838717	1	0.01821926	51.4692	0.0175559	0.0123218	-3.089131
110	0	557.1681	552.7673	4.400771	9.438074	0.01285779	-0.03443535	0.01298685	0.9835921	0.878378	1	0.01827469	53.90874	-0.09970476	0.01298335	3.87822
111	1	556.6543	552.2175	4.436776	8.334101	0.01368936	-0.02307161	0.01267567	0.987422	0.8857533	1	0.01862911	50.63402	-0.1609458	0.01267367	10.80055
112	0	555.2765	552.6375	2.638993	8.548507	0.0135155	-0.0389739	0.01276535	0.9867032	0.8842859	1	0.01857579	51.28536	0.6822431	0.01276309	-53.55748
113	1	549.7884	545.1033	4.685079	5.146619	0.01743205	-0.06780044	0.01156349	0.9961977	0.9102694	1	0.02007862	39.7628	0.1079917	0.01156333	-46.1254
114	0	556.8948	552.6188	4.276043	9.101086	0.01309574	-0.03309388	0.01335719	0.9847938	0.8805833	1	0.01870413	52.92922	-0.1386666	0.0133541	6.804077
115	1	555.6536	552.1214	3.532242	8.68929	0.01340481	-0.03322744	0.01202103	0.9862243	0.8833319	1	0.01795214	51.70882	0.5321972	0.01201875	-40.51286
116	0	554.69	552.174	2.516035	7.469181	0.01446427	-0.0360315	0.01208153	0.9901817	0.8918673	1	0.01869494	47.92133	0.7385725	0.01208036	-78.15507
117	1	553.2446	550.9302	2.314375	10.26129	0.01232583	-0.0559282	0.01232775	0.9805508	0.8731428	1	0.01743271	56.23535	0.7602786	0.01232309	-41.20584
118	0	554.0748	551.25	2.824875	6.651768	0.01533025	-0.04429592	0.01161692	0.9925557	0.8979713	1	0.01887274	45.21436	0.7030763	0.01161627	-99.69273
119	1	555.0957	552.5693	2.526396	9.748114	0.01264968	-0.04542111	0.01303706	0.9824635	0.8763819	1	0.01816121	54.79561	0.6894267	0.01303305	-41.21449
120	0	554.1211	550.3802	3.740813	10.46976	0.01220099	-0.05634852	0.01217548	0.979759	0.8718489	1	0.01723675	56.81075	0.4628303	0.01217049	-25.18704
121	1	555.2731	552.5967	2.676446	9.431471	0.01286233	-0.02892893	0.0127575	0.9836159	0.8784209	1	0.01811581	53.8897	0.6761707	0.01275408	-42.35942
122	0	554.932	550.4205	4.511517	8.632882	0.01344884	-0.03018701	0.01129335	0.9864168	0.8837132	1	0.01742885	51.53954	0.2832208	0.01129126	-22.78998
123	1	554.503	550.9485	3.554502	7.136745	0.0147986	-0.02826234	0.01125778	0.9911768	0.8943083	1	0.01825373	46.83869	0.57337	0.0112569	-67.61432
124	0	551.6559	551.6345	0.02144146	11.17136	0.0118063	-0.01042107	0.01349224	0.9770373	0.8675803	1	0.017849	58.70995	-1.107658	0.01348513	46.67573
125	1	556.3144	552.5713	3.743068	8.608732	0.01346782	-0.04240603	0.01267465	0.986499	0.8838769	1	0.01847701	51.46691	-0.4819167	0.01267234	32.07194
126	0	554.7483	550.9691	3.77923	14.23656	0.01043084	-0.01764941	0.01399571	0.9643575	0.8502303	1	0.01708725	66.45171	0.2941019	0.01397793	-8.452526
127	1	556.4188	552.5511	3.867733	8.312895	0.01370691	-0.03856397	0.01283568	0.9874923	0.8858994	1	0.01875833	50.56917	-0.4290381	0.01283367	30.78976
128	0	556.5554	551.9153	4.640098	8.073451	0.01390986	-0.02268215	0.01214093	0.988278	0.887562	1	0.01837817	49.83137	-0.001258114	0.01213926	-1.828931
129	1	554.9985	551.2038	3.794631	9.792745	0.01262053	-0.04850555	0.01460794	0.9822993	0.8760971	1	0.01920208	54.92219	-0.2511424	0.01460336	11.19682
130	0	552.3416	548.0818	4.259801	10.15098	0.0123934	-0.05907955	0.01144319	0.9809664	0.8738325	1	0.01684162	55.92872	-0.4130727	0.01143905	18.18528
131	1	553.6677	549.6742	3.993512	10.79481	0.01201345	-0.07135829	0.01270692	0.9785085	0.8698552	1	0.01747306	57.69758	-0.3817665	0.01270105	14.06156
132	0	554.2445	550.8129	3.431562	9.567121	0.01276996	-0.05281776	0.01459966	0.9831249	0.8775435	1	0.01930995	54.2795	-0.4130727	0.0145955	20.93529
133	1	555.7055	552.3968	3.308621	10.79481	0.01201345	-0.02192607	0.0138216	0.9785085	0.8698552	1	0.01822334	57.69758	-0.5212211	0.01381521	22.71104
134	0	556.2448	551.5872	4.657548	7.645113	0.01429616	-0.03588545	0.0115173	0.9896396	0.8905969	1	0.0181468	48.48487	0.1724561	0.01151607	-19.93698
135	1	555.3449	551.5905	3.754423	11.24399	0.01176751	-0.008993215	0.01376376	0.9767508	0.8671456	1	0.01799807	58.90345	-0.3799087	0.01375632	15.57401
136	0	555.15	551.2045	3.945533	9.681744	0.01269341	-0.01881192	0.01444838	0.9827069	0.8768066	1	0.01915198	54.60687	0.1241855	0.01444405	-8.144852
137	1	555.2952	551.3082	3.986929	11.54316	0.01161155	-0.01072055	0.01321553	0.9755624	0.8653688	1	0.01751872	59.69461	0.2910592	0.01320764	-12.05794
138	0	556.5554	552.4633	4.092124	10.20611	0.0123595	-0.02862656	0.01395729	0.980759	0.8734874	1	0.01857445	56.08215	0.1121436	0.01395212	-7.204021
139	1	555.611	552.6315	2.979427	10.34371	0.01227603	-0.02762044	0.01363235	0.9802388	0.8726298	1	0.01829487	56.46346	0.5628776	0.01362702	-29.31875
140	0	556.5108	552.148	4.362769	9.705927	0.01267742	-0.05344635	0.01305068	0.9826183	0.8766517	1	0.0181906	54.67571	-0.1115754	0.01304674	3.232694
141	1	554.9952	550.6897	4.30546	10.2919	0.01230727	-0.05624871	0.01223813	0.9804351	0.8729521	1	0.01735615	56.32016	-0.311574	0.01223344	12.73859
142	0	556.8163	552.4068	4.409523	8.945286	0.0132102	-0.02347806	0.0130223	0.9853401	0.8816161	1	0.0185487	52.47061	-0.00780056	0.0130195	-1.077214
143	1	555.7265	551.1323	4.594238	7.69329	0.01425112	-0.02051373	0.01164469	0.9894894	0.8902515	1	0.01821812	48.63809	0.192803	0.01164341	-20.10256
144	0	556.9244	552.3814	4.542965	9.408269	0.01287833	-0.02815382	0.01250726	0.9836995	0.8785715	1	0.01794841	53.82277	-0.06471112	0.01250394	2.177993
145	1	552.9064	551.9279	0.9785043	9.469245	0.01283641	-0.02642477	0.01409346	0.9834796	0.8781759	1	0.01902154	53.99851	-0.9557991	0.01408962	55.30035
146	0	556.3965	551.7081	4.688372	7.630504	0.0143099	-0.04837791	0.01190274	0.989685	0.8907019	1	0.01845681	48.43831	0.01385406	0.01190147	-6.019309
147	1	554.6231	551.0208	3.602281	13.66111	0.01065439	-0.03990015	0.01594119	0.9668156	0.8533479	1	0.01843061	65.05742	-0.1174481	0.01592364	2.219431
148	0	554.0655	549.2486	4.816928	5.321799	0.01714246	-0.02676544	0.01141606	0.995829	0.9087539	1	0.0197838	40.43451	0.02712607	0.01141586	-12.89325
149	1	555.9688	552.4738	3.49499	7.983875	0.01398809	-0.03676017	0.01258216	0.9885675	0.8881901	1	0.01876168	49.55267	-0.5583535	0.01258051	45.06527
150	0	554.4175	550.4775	3.939999	7.581236	0.01435652	-0.009710315	0.01233571	0.9898376	0.8910565	1	0.01882009	48.28099	0.3930002	0.01233444	-39.23456
151	1	555.8313	551.975	3.8563	8.781879	0.01333346	-0.04346919	0.01373906	0.9859065	0.8827086	1	0.01914101	51.98556	-0.3401486	0.01373633	20.71059
152	0	556.8658	552.5373	4.328497	10.05129	0.01245541	-0.04192829	0.01289388	0.98134	0.8744589	1	0.01792197	55.65029	-0.2031951	0.01288939	8.43917
